username,user id,access hash,group,group id,status
Winterflakes,1798105621,-5024232394618566895,RED APPLE,1491003647,UserStatusRecently
,1813929939,455366914504446189,RED APPLE,1491003647,UserStatusRecently
Aarambhhaiprachand,1938758073,-466168475908921458,RED APPLE,1491003647,UserStatusRecently
,5183595811,-3304250490806872509,RED APPLE,1491003647,UserStatusRecently
Not_so_endearing,5457259163,-2775860551426263318,RED APPLE,1491003647,UserStatusRecently
Alien170,5712470803,678891914759979383,RED APPLE,1491003647,UserStatusRecently
ap_ninxn,1162290295,-8875043004775170457,RED APPLE,1491003647,UserStatusRecently
,5748541748,5481693213272576947,RED APPLE,1491003647,UserStatusRecently
zx4iii,1396349067,8364170980435223465,RED APPLE,1491003647,UserStatusRecently
Brown986,5042632906,1497562120546719879,RED APPLE,1491003647,UserStatusRecently
foR_woRLd7,1007785526,4931930274600021250,RED APPLE,1491003647,UserStatusRecently
shinzoigone,5322518886,8997248513813589326,RED APPLE,1491003647,UserStatusRecently
seekers_of_the_supernatural,1541072990,-5596165295880882628,RED APPLE,1491003647,UserStatusRecently
itsbadboyyyy,5339866989,-5467950926836075196,RED APPLE,1491003647,UserStatusRecently
,5328185459,207357759887292421,RED APPLE,1491003647,UserStatusRecently
RawQoo,757175144,3417755378722702833,RED APPLE,1491003647,UserStatusRecently
vladmirrputin,1279644107,-1503543487758890367,RED APPLE,1491003647,UserStatusRecently
xo_gagan,813139228,2403197334222100578,RED APPLE,1491003647,UserStatusRecently
ketone11,1200041492,8630327117225427966,RED APPLE,1491003647,UserStatusRecently
puresou1,1490343623,-6414805973196003534,RED APPLE,1491003647,UserStatusRecently
introvert087,981176234,2966892013843209774,RED APPLE,1491003647,UserStatusRecently
yoursaddiction,5495315072,1250249051763370532,RED APPLE,1491003647,UserStatusRecently
,5462371681,-5764972730031075995,RED APPLE,1491003647,UserStatusRecently
,5667153694,3210073629789699804,RED APPLE,1491003647,UserStatusRecently
tobi_marshal,5564341160,-5450584710422939104,RED APPLE,1491003647,UserStatusRecently
,5620447554,7442936085417346286,RED APPLE,1491003647,UserStatusRecently
Really_Harsh,5620490498,-5428145804806076321,RED APPLE,1491003647,UserStatusRecently
Rohitkumar9127,5286590027,-3957300789085891218,RED APPLE,1491003647,UserStatusRecently
,5770040708,1112332056127526471,RED APPLE,1491003647,UserStatusRecently
